"","2020","2030","2040","2050","2060","2070"
"1A",162613.469115465,212463.691756762,249973.906508566,281107.309656641,300919.361005208,310778.364410407
"1Ba",690427.313384473,1186414.38814318,1846726.03084719,2728981.95094538,3775380.74930906,4922502.81957889
"1Bb",219424.610226389,287791.833651939,340347.224063081,385262.393352991,415722.812305953,433306.699236362
"1C",301477.032797813,440359.609739304,591778.398202896,772067.237394333,966044.3841362,1164933.85483932
"1E2",185212.170488834,273432.436543465,371563.075241089,489967.959344864,618945.082052231,752397.335998535
"1F",233886.409988927,304012.906945028,355191.940408322,395821.664601,418993.986583191,427059.90105027
"1G",128777.333458028,183265.095734131,239421.319955874,303673.609338586,370163.152743125,436318.846899803
"1H",235011.320552642,324711.783538285,410035.850406173,501607.437210561,589994.951953941,672876.953138073
"1K",166994.892919198,212563.08006666,241171.252996334,258304.237838199,259612.46786988,247870.740192086
"1L",55460.6043262465,75609.8694099401,93949.4667361199,112870.753735739,130279.909049416,145877.261129808
"1M",65882.8509324614,84607.9337169542,97211.7053584922,105942.959255453,108988.936954972,107262.345970103
"1N",22874.6343311071,28928.1731554344,32515.0382683054,34365.1386772245,33907.0555732399,31566.7231256887
"1O",110129.035738631,139946.016821707,158399.838384874,169081.011768812,169151.411636392,160497.952009703
"1P",74734.644235061,95239.7006257479,108240.130796139,116203.273519221,117168.073166811,112349.032427953
"1R",361841.308522748,515101.085240327,673170.056324719,854126.702225658,1041488.21426631,1227991.55374275
"1S",188085.74395588,239904.960040212,273000.173766553,293605.263166368,296757.126467526,285460.259130299
"1T",120905.952897072,167373.990530968,211834.384989738,259789.14654541,306344.614603043,350228.571165085
"2A",194859.480248431,250111.779641053,287160.010942177,312640.56043577,321208.750507577,315595.781729509
"2B",752041.695034191,1046009.63022249,1331250.77691327,1642548.4890664,1948825.11832658,2240966.04290249
"2C",206135.504049823,287822.865238518,367964.553977758,456220.874342382,543929.662466526,628322.242136031
"2D",109364.35183626,146769.25500783,178831.216971759,210001.353079595,236452.161910973,258159.533139542
"3A",193963.823070399,294987.734663695,412971.949576706,559751.018140152,724046.674871072,897371.244021565
"3B",28823.3465655409,36451.1515157633,40970.8063216917,43302.0387568772,42724.8278463446,39775.874915082
"3C",60955.7742610543,77087.0987936287,86645.2907620302,91575.3935426832,90354.7045184027,84118.2428117158
"3D",164040.396507204,208930.662949979,237258.749081194,254427.014115691,256146.238634884,245110.894567311
"3E",179350.858505452,226814.235350652,254937.41094274,269443.308101618,265851.660719394,247502.049291654
"3F",116760.069398488,157522.387165924,193211.494422469,228673.563321886,259715.088564605,286108.734319458
"4A",91472.9002402404,115680.271101129,130023.711877118,137422.039491107,135590.220795929,126231.51290117
"4B",727455.567486561,995990.351039958,1244023.65491884,1503404.16853557,1746118.56487107,1967202.6581464
"4C",549520.192271693,784316.461091824,1027974.36956208,1308181.51980861,1599641.23429492,1890825.62021752
"4D",863856.233875598,1381308.51574358,2025762.42571175,2857596.20008931,3817838.86678261,4852248.43850728
"4E",574061.990409851,936389.559326172,1397186.41417694,1998673.45149994,2699272.30599976,3458442.00289917
"4F",146062.413778067,196401.326008618,239895.972649097,282534.53231436,319155.635286033,349633.956733942
"5C",107448.550344497,139637.668082036,163101.393495227,181694.777274646,192247.742822586,195847.004324516
"5D",522798.230223179,700122.67260766,850775.313849926,995865.448158979,1117288.38798094,1215290.08785129
"5E",733638.719857773,964751.764246482,1144926.50688857,1301771.83095565,1412176.11217814,1480800.20447801
"5F",209415.485254114,273273.176382603,320980.121670166,360177.167115843,384540.688451735,395915.592329394
"6A",30285.6414430904,39530.2993466605,46446.5301649338,52140.4383797151,55696.2647388277,57378.4888522395
"6B",31969.8032291047,40916.9353832618,46787.5458168234,50657.0470047147,51663.8199590256,50284.664704715
"6C",229019.3636446,338735.852046967,461186.932275772,609259.348613739,770874.782870293,938340.612248421
"6D",281724.248671201,366653.775093029,429110.839854178,479263.545567361,508731.331025343,520234.121110839
"7A",274184.675263554,373787.02288869,464434.362024516,557947.767118394,643977.272352517,721044.059993327
"7B",97505.0667619705,123308.788930893,138598.105576515,146484.31509304,144531.697184563,134555.831097603
"7C",58972.5724721344,74579.0626460528,83826.2779349836,88595.9793992172,87415.0058628132,81381.4477146488
"7D",353290.247636199,544354.995407343,771690.816420317,1057655.21371341,1380791.98008633,1723923.23368084
"7E",81867.1821302983,103532.497479063,116369.710494596,122991.127739045,121351.670897844,112975.736502757
"7F",80158.5735645042,123620.760827909,175397.312467629,240573.584343228,314266.96392244,392552.832159752
"7G",59300.6466469241,74993.9585893916,84292.6175384963,89088.8539238403,87901.3101247402,81834.1861292138
"7H",17416.2844182777,22025.3264414894,24756.2932627927,26164.92233198,25816.1471739036,24034.2649143848
"8A",50943.6392937691,66659.5382138981,78584.8534297825,88598.9611013252,95140.0444151343,98612.7118346336
"9A",93068.0248491777,117863.47611872,132749.472063054,140714.582125341,139412.442025283,130535.607903811
"9B",159407.12498349,224306.423145324,289328.623473048,362140.630679786,435820.013857782,507804.607060492
"10A",205595.05220389,279206.654617881,345284.532434601,412570.55954877,473442.991796862,527054.536183901
"11A",410058.104769953,526848.685821946,605726.467410163,660715.860451295,680502.475915872,670707.4648805
"14A",378088.054105759,572981.395729065,799387.997606277,1080145.99965668,1393533.75597954,1723500.65816689
"14B",551718.265012882,725206.3148685,860146.481102771,977265.579028287,1059223.87812935,1109603.38450114
"14C",318518.964134097,422372.423796823,506787.70024631,584150.608136032,643972.2146271,687420.804158725
"14D",47952.0666236877,60642.0922088623,68161.2331161499,72039.5961837769,71079.3170623779,66173.2808914185
"15A",306530.340982467,391293.86944073,445779.8622342,480183.331120842,486375.357233444,469176.551073886
"15B",285319.430518972,389812.101197871,485630.475688518,585171.738119223,677556.158014215,761039.031269238
"15C",23965.0477619694,30307.153330483,34065.0013498577,36003.2942172988,35523.374825238,33071.4804970315
"16E",100263.050578386,128649.244333584,147635.677793281,160632.116486231,164894.120367407,161837.550250361
"16F",127003.29176122,170711.512088118,208421.167337815,245332.001428749,276964.183530922,303223.858110513
"16G",70750.9753771612,97145.4501498817,121757.332274369,147715.666074943,172260.030862307,194840.114738935
"17A",67607.4684066772,110749.868502378,165848.001092434,237927.72817421,322031.398038864,413269.808880806
"17B",17715.4063258956,22403.6081874984,25181.4786928932,26614.3006616073,26259.5352007401,24447.0497273062
"17C",90868.8373091981,116413.963683054,133301.781552166,144601.967503684,147850.705636305,144375.364712294
