"","WRU","2050"
"1","1A",329650.038635185
"2","1Ba",4326835.22295487
"3","1Bb",521289.432766463
"4","1C",1264118.62809478
"5","1E2",959697.312032257
"6","1F",629457.848731631
"7","1G",456273.747518585
"8","1H",746109.743063442
"9","1K",309360.547871384
"10","1L",173931.776349044
"11","1M",115486.157410737
"12","1N",39191.4541553534
"13","1O",189719.198089306
"14","1P",132747.556280878
"15","1R",838740.527135164
"16","1S",385062.7467463
"17","1T",431498.044909461
"18","2A",417839.449070823
"19","2B",1993851.61530267
"20","2C",588552.629370128
"21","2D",247100.478721883
"22","3A",575007.652326891
"23","3B",49646.5690727884
"24","3C",98239.2226589945
"25","3D",288557.691741093
"26","3E",346746.290387215
"27","3F",235987.686863034
"28","4A",180160.793132535
"29","4B",1753402.02572801
"30","4C",1541992.69819987
"31","4D",3490851.27853415
"32","4E",2227315.30087296
"33","4F",366630.283449442
"34","5C",199604.187999202
"35","5D",1151751.24133648
"36","5E",1665733.56094945
"37","5F",474947.302673884
"38","6A",62375.2192836169
"39","6B",59670.5158856448
"40","6C",651462.166394658
"41","6D",559970.562793878
"42","7A",625654.315849836
"43","7B",159940.472587075
"44","7C",98390.6574798547
"45","7D",1186112.44919303
"46","7E",142586.489313734
"47","7F",278249.414135165
"48","7G",101689.423434244
"49","7H",28688.3212905907
"50","8A",95475.5974176445
"51","9A",195833.133957306
"52","9B",335904.009798594
"53","10A",410538.761317449
"54","11A",798047.796374983
"55","14A",1816799.40764438
"56","14B",1271418.65110958
"57","14C",878714.284712424
"58","14D",91089.0709571962
"59","15A",576363.231629231
"60","15B",595261.709658065
"61","15C",49041.4816378733
"62","16E",167790.717297977
"63","16F",303069.573250084
"64","16G",211856.978293145
"65","17A",262946.311696028
"66","17B",34892.9170441267
"67","17C",148966.268721984
