"","WRU","2060"
"1","1A",220985.250437385
"2","1Ba",3907510.38961675
"3","1Bb",336259.853652121
"4","1C",1057131.36250466
"5","1E2",821517.991429973
"6","1F",450338.979722104
"7","1G",362290.781810573
"8","1H",571880.642484855
"9","1K",195113.720150816
"10","1L",134297.949068444
"11","1M",74647.8534461584
"12","1N",23516.9216447835
"13","1O",116556.846870235
"14","1P",82886.9141418445
"15","1R",608222.30974993
"16","1S",255882.591335898
"17","1T",334548.287785355
"18","2A",270309.098086607
"19","2B",1407567.93993198
"20","2C",320179.247992582
"21","2D",173091.428333659
"22","3A",447507.800458886
"23","3B",30649.038403285
"24","3C",60618.5690087293
"25","3D",183593.494831511
"26","3E",225310.133274954
"27","3F",164090.956616921
"28","4A",117973.064805926
"29","4B",1264035.87707592
"30","4C",1205869.86861731
"31","4D",2987328.94775443
"32","4E",1914278.53837691
"33","4F",274518.897893613
"34","5C",130389.331086978
"35","5D",810616.003489808
"36","5E",1169847.4998286
"37","5F",327871.526420569
"38","6A",42057.2200291187
"39","6B",36155.4612283742
"40","6C",512401.572582062
"41","6D",372536.388695221
"42","7A",451805.103174911
"43","7B",96774.0467108823
"44","7C",60134.7622671626
"45","7D",986775.775690927
"46","7E",86493.291191851
"47","7F",227602.4621214
"48","7G",64479.4060744867
"49","7H",17543.1703183413
"50","8A",63809.3851603815
"51","9A",130710.990600498
"52","9B",235797.307348706
"53","10A",294106.503566887
"54","11A",517751.17697407
"55","14A",1559247.97764818
"56","14B",874639.573588671
"57","14C",639645.412346071
"58","14D",56003.6445026619
"59","15A",380936.283830624
"60","15B",418291.558988193
"61","15C",32120.606177159
"62","16E",105014.077703034
"63","16F",218512.975717817
"64","16G",162842.990031971
"65","17A",223795.299706937
"66","17B",23139.7417247143
"67","17C",92038.3378646371
