"","2020","2030","2040","2050","2060","2070"
"1A",162613.469115465,185858.632515368,196981.345547949,196403.144792442,186680.790065648,172251.454861707
"1Ba",690427.313384473,1037849.60106635,1455234.19022965,1906676.26872611,2342126.05230516,2728337.53528124
"1Bb",219424.610226389,251754.060201317,268196.210058818,269173.879493569,257901.196662349,240163.791885609
"1C",301477.032797813,385217.040542603,466325.895997047,539425.425644875,599303.171450615,645674.132060051
"1E2",185212.170488834,239192.768993378,292794.537419796,342329.216319084,383973.818816662,417022.388403893
"1F",233886.409988927,265943.902348719,279893.959608325,276551.397341856,259930.527019015,236701.449853395
"1G",128777.333458028,160316.332804793,188665.826076472,212169.695737715,229637.43259105,241833.29344587
"1H",235011.320552642,284050.832797752,323111.380771088,350461.456983587,366014.081670616,372947.568754879
"1K",166994.892919198,185945.575357093,190044.787950335,180471.167014874,161055.307952423,137384.388027184
"1L",55460.6043262465,66141.875632022,74032.8971420628,78860.1733588622,80821.5079114119,80853.6670741511
"1M",65882.8509324614,74013.1870433859,76603.5652308208,74019.8835630694,67613.26571617,59451.0339229136
"1N",22874.6343311071,25305.7388821431,25622.0983104967,24010.1236141771,21034.8575048968,17496.1147671416
"1O",110129.035738631,122421.743026994,124820.281894749,118132.97281438,104936.149345386,88957.3044889948
"1P",74734.644235061,83313.6259749064,85294.0489309785,81188.5264009738,72687.3414284907,62270.3718818335
"1R",361841.308522748,450599.266419933,530463.143786944,596758.473921065,646106.119762271,680624.381101659
"1S",188085.74395588,209863.659618378,215126.219408751,205135.173088104,184098.672186404,158218.687308431
"1T",120905.952897072,146415.138070107,166927.110671043,181508.642321587,190046.446902752,194117.059808731
"2A",194859.480248431,218792.364682791,226284.280662708,218434.693465266,199267.682439494,174921.546635743
"2B",752041.695034191,915026.559773102,1049035.77252971,1147610.44897954,1208989.04677957,1242073.79098209
"2C",206135.504049823,251781.205513895,289958.876575589,318750.922459811,337436.643412456,348252.748249501
"2D",109364.35183626,128390.563748818,140920.363662153,146723.062677678,146687.391161103,143087.034421623
"3A",193963.823070399,258048.877294295,325425.049563661,391085.032587528,449175.509054795,497375.36846707
"3B",28823.3465655409,31886.6773099229,32285.3080151118,30254.1279459335,26505.1225562468,22046.1045838986
"3C",60955.7742610543,67434.1234000599,68277.1502735352,63981.5990620556,56053.1815846186,46623.2251636754
