"","2020","2030","2040","2050","2060","2070"
"1A",162613.469115465,186758.283976088,198895.836741263,199552.43980999,191058.770377003,177430.281292606
"1Ba",690427.313384473,1042873.33306384,1469377.81606281,1937249.52463067,2397052.81771576,2810366.32582963
"1Bb",219424.610226389,252972.678171877,270802.849565433,273490.043650313,263949.412866595,247384.43429046
"1C",301477.032797813,387081.684690475,470858.192352295,548075.028823853,613357.844294548,665086.657715797
"1E2",185212.170488834,240350.582410336,295640.251224518,347818.427108765,392978.657984257,429560.368395805
"1F",233886.409988927,267231.206724893,282614.291159465,280985.85878293,266026.336547081,243817.995783991
"1G",128777.333458028,161092.344618909,190499.497160227,215571.801743093,235022.821703484,249104.127068241
"1H",235011.320552642,285425.783237219,326251.748467745,356081.056304109,374597.730916773,384160.417692179
"1K",166994.892919198,186845.647602233,191891.861260665,183364.996028893,164832.328217406,141514.918435123
"1L",55460.6043262465,66462.0349710731,74752.4336249535,80124.6840162499,82716.9084407965,83284.572970775
"1M",65882.8509324614,74371.4486481149,77348.0869651246,75206.7815017377,69198.9115215687,61238.4584059042
"1N",22874.6343311071,25428.2317828424,25871.123276148,24395.1224654838,21528.1606369577,18022.144132562
"1O",110129.035738631,123014.32673416,126033.428336691,120027.217957819,107397.079640093,91631.8500058572
"1P",74734.644235061,83716.9066603516,86123.0345182227,82490.3725845778,74391.9826093336,64142.561560927
"1R",361841.308522748,452780.399614796,535618.792198798,606327.408091284,661258.404150409,701087.684808662
"1S",188085.74395588,210879.507300317,217217.062992394,208424.484318793,188416.098010719,162975.60927254
"1T",120905.952897072,147123.862462997,168549.501027107,184419.105612755,194503.358922958,199953.275679588
"2A",194859.480248431,219851.43169744,228483.571064687,221937.260842359,203940.846707211,180180.65037497
"2B",752041.695034191,919455.756278808,1059231.50594889,1166012.2129303,1237341.88042277,1279417.34492701
"2C",206135.504049823,252999.956202775,292777.028734922,323862.045771629,345350.103128269,358723.138733625
"2D",109364.35183626,129012.039631896,142289.98986616,149075.747537516,150127.456914529,147389.017997932
"3A",193963.823070399,259297.967683561,328587.902195364,397356.022339754,459709.431482792,512329.197049111
"3B",28823.3465655409,32041.0251083337,32599.0938485935,30739.2485523559,27126.7126544174,22708.9316145256
"3C",60955.7742610543,67760.5391096963,68940.7459162251,65007.5343450358,57367.7234824644,48024.9755907179
"3D",164040.396507204,183652.707160413,188778.813074529,180612.632124782,162631.56139487,139939.261239856
"3E",179350.858505452,199372.594468903,202845.130129004,191272.398164311,168793.696274443,141304.424049783
"3F",116760.069398488,138464.17907238,153731.893281755,162330.775504887,164897.481896743,163345.840352843
"4A",91472.9002402404,101684.42805588,103455.497875343,97553.149071344,86088.5144850889,72068.378187176
"4B",727455.567486561,875488.174375945,989827.812418633,1067236.45552366,1108640.07949499,1123119.74933452
"4C",549520.192271693,689424.133521785,817924.670916319,928651.832504816,1015639.15515209,1079514.3945011
"4D",863856.233875598,1214187.73598119,1611831.07871333,2028550.21352948,2424010.1626186,2770256.52176038
