"","WRU","2050"
"1","1A",406536.962407653
"2","1Ba",1748914.54708338
"3","1Bb",548654.38988999
"4","1C",757429.711975098
"5","1E2",465559.027166367
"6","1F",584594.446901152
"7","1G",323151.281495337
"8","1H",588950.876048401
"9","1K",417038.898622491
"10","1L",138905.376208123
"11","1M",164590.27715815
"12","1N",57110.0528624952
"13","1O",275008.123653672
"14","1P",186644.970449127
"15","1R",908010.153637706
"16","1S",469749.227582335
"17","1T",303022.444253922
"18","2A",486792.636947245
"19","2B",1885212.54737029
"20","2C",516828.121506989
"21","2D",273724.545696288
"22","3A",488251.049341977
"23","3B",71961.9306819811
"24","3C",152185.49313965
"25","3D",409670.889798999
"26","3E",447777.083040208
"27","3F",292301.535097425
"28","4A",228376.205032919
"29","4B",1822309.63853211
"30","4C",1379138.576082
"31","4D",2179944.75264273
"32","4E",1450130.38742065
"33","4F",365605.667430758
"34","5C",268563.3274124
"35","5D",1308375.87175131
"36","5E",1834610.41585639
"37","5F",523515.646365053
"38","6A",75711.5361344743
"39","6B",79856.6237446565
"40","6C",575725.680181503
"41","6D",704201.095944242
"42","7A",686715.859476089
"43","7B",243436.439336777
"44","7C",147234.123545056
"45","7D",889878.618679643
"46","7E",204394.04849726
"47","7F",201914.874550325
"48","7G",148053.211646598
"49","7H",43482.4403781565
"50","8A",127368.061700291
"51","9A",232372.005603073
"52","9B",399808.429039061
"53","10A",514841.786736373
"54","11A",1024437.63449439
"55","14A",951570.628173828
"56","14B",1379656.5501808
"57","14C",796802.480178141
"58","14D",119719.730392456
"59","15A",765592.850078098
"60","15B",714671.575083548
"61","15C",59832.4389270548
"62","16E",250470.937635122
"63","16F",317894.198272079
"64","16G",177256.713009908
"65","17A",170820.149902344
"66","17B",44229.2446373876
"67","17C",226988.330224938
